#bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
19	chr1	84934572	84935054	CpG: 47	482	47	329	19.5	68.3	0.84
133	chr1	63176547	63177427	CpG: 78	880	78	543	17.7	61.7	0.93
192	chr1	125435174	125435976	CpG: 67	802	67	464	16.7	57.9	1.01
247	chr1	183368926	183369826	CpG: 93	900	93	631	20.7	70.1	0.84
611	chr1	3531624	3531843	CpG: 27	219	27	167	24.7	76.3	0.86
613	chr1	3670619	3671074	CpG: 34	455	34	293	14.9	64.4	0.72
613	chr1	3671654	3672156	CpG: 45	502	45	348	17.9	69.3	0.75
619	chr1	4491701	4493673	CpG: 165	1972	165	1286	16.7	65.2	0.79
619	chr1	4496947	4497608	CpG: 47	661	47	393	14.2	59.5	0.81
619	chr1	4571641	4572075	CpG: 44	434	44	265	20.3	61.1	1.09
620	chr1	4689184	4689397	CpG: 24	213	24	149	22.5	70	0.96
621	chr1	4785376	4785814	CpG: 49	438	49	289	22.4	66	1.04
621	chr1	4807559	4808103	CpG: 73	544	73	367	26.8	67.5	1.18
622	chr1	4857465	4858372	CpG: 83	907	83	545	18.3	60.1	1.01
623	chr1	5018557	5019711	CpG: 77	1154	77	714	13.3	61.9	0.71
623	chr1	5083039	5083536	CpG: 49	497	49	329	19.7	66.2	0.9
630	chr1	5916428	5917474	CpG: 85	1046	85	649	16.3	62	0.85
632	chr1	6214430	6215332	CpG: 107	902	107	645	23.7	71.5	0.93
633	chr1	6359082	6359442	CpG: 29	360	29	245	16.1	68.1	0.72
633	chr1	6382891	6383203	CpG: 42	312	42	229	26.9	73.4	1
634	chr1	6441200	6441612	CpG: 36	412	36	209	17.5	50.7	1.36
639	chr1	7088491	7089271	CpG: 85	780	85	540	21.8	69.2	0.91
641	chr1	7397746	7398594	CpG: 64	848	64	543	15.1	64	0.74
655	chr1	9299215	9300020	CpG: 61	805	61	512	15.2	63.6	0.76
657	chr1	9545269	9546268	CpG: 97	999	97	666	19.4	66.7	0.87
659	chr1	9699785	9700881	CpG: 87	1096	87	624	15.9	56.9	0.98
659	chr1	9747560	9748645	CpG: 89	1085	89	631	16.4	58.2	0.98
659	chr1	9797821	9798652	CpG: 95	831	95	493	22.9	59.3	1.3
660	chr1	9848165	9848530	CpG: 40	365	40	265	21.9	72.6	0.88
660	chr1	9943785	9944196	CpG: 46	411	46	277	22.4	67.4	1
661	chr1	9967118	9968330	CpG: 128	1212	128	811	21.1	66.9	0.94
661	chr1	10037950	10038215	CpG: 31	265	31	167	23.4	63	1.21
661	chr1	10039745	10040279	CpG: 60	534	60	387	22.5	72.5	0.89
663	chr1	10232143	10233428	CpG: 136	1285	136	780	21.2	60.7	1.15
667	chr1	10805299	10805885	CpG: 45	586	45	371	15.4	63.3	0.77
668	chr1	10993486	10994005	CpG: 56	519	56	324	21.6	62.4	1.11
672	chr1	11414060	11414465	CpG: 44	405	44	283	21.7	69.9	0.89
684	chr1	12990718	12991200	CpG: 34	482	34	307	14.1	63.7	0.7
684	chr1	12991485	12992784	CpG: 98	1299	98	734	15.1	56.5	0.95
684	chr1	12996222	12996435	CpG: 16	213	16	129	15	60.6	0.82
685	chr1	13126298	13126669	CpG: 30	371	30	238	16.2	64.2	0.79
687	chr1	13372746	13374794	CpG: 188	2048	188	1298	18.4	63.4	0.92
688	chr1	13589162	13590177	CpG: 101	1015	101	623	19.9	61.4	1.06
689	chr1	13660231	13660732	CpG: 49	501	49	344	19.6	68.7	0.83
694	chr1	14309747	14310036	CpG: 35	289	35	209	24.2	72.3	0.93
695	chr1	14506541	14507148	CpG: 48	607	48	394	15.8	64.9	0.75
697	chr1	14755151	14755803	CpG: 68	652	68	455	20.9	69.8	0.86
701	chr1	15286418	15287178	CpG: 87	760	87	561	22.9	73.8	0.84
705	chr1	15805591	15806108	CpG: 60	517	60	355	23.2	68.7	0.99
706	chr1	15892420	15893052	CpG: 52	632	52	447	16.5	70.7	0.67
707	chr1	16092956	16093371	CpG: 41	415	41	277	19.8	66.7	0.89
707	chr1	16104765	16106291	CpG: 169	1526	169	1006	22.1	65.9	1.02
711	chr1	16519743	16520093	CpG: 45	350	45	261	25.7	74.6	0.93
711	chr1	16618558	16619401	CpG: 107	843	107	605	25.4	71.8	0.99
712	chr1	16656764	16657043	CpG: 25	279	25	176	17.9	63.1	0.94
712	chr1	16665146	16665626	CpG: 56	480	56	337	23.3	70.2	0.97
715	chr1	17091517	17091971	CpG: 35	454	35	267	15.4	58.8	0.89
715	chr1	17096764	17098139	CpG: 116	1375	116	864	16.9	62.8	0.86
715	chr1	17145467	17145795	CpG: 23	328	23	205	14	62.5	0.72
722	chr1	18058035	18058896	CpG: 91	861	91	570	21.1	66.2	0.97
730	chr1	19104571	19104923	CpG: 25	352	25	225	14.2	63.9	0.72
731	chr1	19209755	19210067	CpG: 30	312	30	195	19.2	62.5	0.98
731	chr1	19213940	19214404	CpG: 35	464	35	307	15.1	66.2	0.74
731	chr1	19236612	19236850	CpG: 19	238	19	153	16	64.3	0.78
743	chr1	20819888	20820297	CpG: 45	409	45	289	22	70.7	0.95
744	chr1	20890434	20890811	CpG: 33	377	33	267	17.5	70.8	0.72
